"Name";"RefDes";"Value";"Quantity"
"CAP200";"C1, C2";"22";"2"
"POLCAP";"C3";"1u";"1"
"CAP200RP";"C4";"100u";"1"
"CAP200";"C5, C6, C7";"0.1";"3"
"IDC2X13M_apl_kbd";"J1";"";"1"
"03DB-6S(LF)";"J2";"";"1"
"JMP4";"J3";"";"1"
"4310R-1";"R1";"1k";"1"
"RES500";"R2, R3";"10k";"2"
"AT89C52-24PC";"U1";"";"1"
"PLS-14x2";"U2";"";"1"
"SN74LS138N";"U3";"";"1"
"SN74LS595N";"U4";"";"1"
"HC49S";"Y1";"25MHz";"1"
"";"";"";"18"
